Edad,EM67M,EM89M,CNSF2000I,CNSF2000G,AMIS2005M,AMIS2005H
12,0.00 ,1.12 ,0.40 ,0.79 ,0.19 ,0.35114
13,0.00 ,1.14 ,0.43 ,0.80 ,0.21 ,0.37648
14,0.00 ,1.16 ,0.46 ,0.82 ,0.22 ,0.40182
15,1.78 ,1.19 ,0.50 ,0.84 ,0.24 ,0.43
16,1.80 ,1.21 ,0.53 ,0.86 ,0.25 ,0.46
17,1.82 ,1.24 ,0.58 ,0.88 ,0.26 ,0.49
18,1.84 ,1.27 ,0.62 ,0.91 ,0.29 ,0.53
19,1.87 ,1.30 ,0.67 ,0.94 ,0.32 ,0.58
20,1.89 ,1.34 ,0.72 ,0.97 ,0.34 ,0.63
21,1.92 ,1.38 ,0.77 ,1.00 ,0.36 ,0.69
22,1.96 ,1.42 ,0.83 ,1.03 ,0.39 ,0.76
23,1.99 ,1.47 ,0.90 ,1.07 ,0.40 ,0.83
24,2.03 ,1.52 ,0.97 ,1.11 ,0.42 ,0.9
25,2.08 ,1.57 ,1.04 ,1.15 ,0.43 ,0.97
26,2.13 ,1.64 ,1.12 ,1.20 ,0.45 ,1.06
27,2.19 ,1.70 ,1.21 ,1.25 ,0.47 ,1.14
28,2.25 ,1.77 ,1.30 ,1.31 ,0.49 ,1.23
29,2.32 ,1.85 ,1.40 ,1.37 ,0.51 ,1.32
30,2.40 ,1.94 ,1.51 ,1.43 ,0.53 ,1.41
31,2.48 ,2.03 ,1.62 ,1.51 ,0.57 ,1.51
32,2.57 ,2.14 ,1.75 ,1.58 ,0.59 ,1.61
33,2.68 ,2.25 ,1.88 ,1.67 ,0.61 ,1.72
34,2.79 ,2.37 ,2.03 ,1.76 ,0.62 ,1.83
35,2.92 ,2.50 ,2.19 ,1.85 ,0.65 ,1.94
36,3.07 ,2.65 ,2.35 ,1.96 ,0.68 ,2.06
37,3.22 ,2.81 ,2.54 ,2.08 ,0.73 ,2.19
38,3.40 ,2.98 ,2.73 ,2.21 ,0.79 ,2.32
39,3.59 ,3.17 ,2.94 ,2.34 ,0.86 ,2.46
40,3.81 ,3.38 ,3.17 ,2.50 ,0.95 ,2.61
41,4.05 ,3.60 ,3.41 ,2.66 ,1.06 ,2.76
42,4.31 ,3.84 ,3.67 ,2.84 ,1.19 ,2.93
43,4.61 ,4.11 ,3.95 ,3.04 ,1.29 ,3.11
44,4.93 ,4.40 ,4.26 ,3.25 ,1.41 ,3.3
45,5.30 ,4.72 ,4.59 ,3.49 ,1.56 ,3.51
46,5.70 ,5.07 ,4.94 ,3.75 ,1.73 ,3.74
47,6.14 ,5.45 ,5.32 ,4.04 ,1.93 ,3.99
48,6.63 ,5.86 ,5.73 ,4.35 ,2.14 ,4.26
49,7.18 ,6.31 ,6.16 ,4.70 ,2.37 ,4.56
50,7.79 ,6.80 ,6.64 ,5.08 ,2.63 ,4.89
51,8.46 ,7.33 ,7.15 ,5.50 ,2.92 ,5.25
52,9.20 ,7.91 ,7.69 ,5.97 ,3.24 ,5.65
53,10.03 ,8.55 ,8.28 ,6.48 ,3.58 ,6.09
54,10.94 ,9.24 ,8.92 ,7.05 ,3.96 ,6.58
55,11.95 ,10.00 ,9.60 ,7.68 ,4.32 ,7.12
56,13.08 ,10.82 ,10.33 ,8.38 ,4.76 ,7.72
57,14.32 ,11.72 ,11.12 ,9.16 ,5.18 ,8.39
58,15.70 ,12.69 ,11.97 ,10.03 ,5.72 ,9.12
59,17.22 ,13.76 ,12.88 ,10.99 ,6.33 ,9.94
60,18.91 ,14.92 ,13.86 ,12.07 ,7.07 ,10.85
61,20.78 ,16.19 ,14.91 ,13.27 ,8.00 ,11.86
62,22.85 ,17.57 ,16.05 ,14.61 ,9.20 ,12.98
63,25.15 ,19.07 ,17.27 ,16.10 ,9.16 ,14.22
64,27.68 ,20.70 ,18.57 ,17.78 ,9.47 ,15.6
65,30.49 ,22.49 ,19.98 ,19.66 ,10.12 ,17.13
66,33.59 ,24.43 ,21.49 ,21.76 ,11.14 ,18.83
67,37.02 ,26.54 ,23.11 ,24.12 ,12.56 ,20.71
68,40.81 ,28.84 ,24.85 ,26.78 ,13.93 ,22.79
69,45.00 ,31.34 ,26.72 ,29.76 ,15.64 ,25.1
70,49.62 ,34.06 ,28.72 ,33.11 ,17.63 ,27.65
71,54.72 ,37.02 ,30.87 ,36.89 ,19.84 ,30.48
72,60.34 ,40.24 ,33.18 ,41.13 ,22.20 ,33.61
73,66.55 ,43.75 ,35.65 ,45.92 ,26.20 ,37.07
74,73.38 ,47.55 ,38.30 ,51.30 ,30.12 ,40.88
75,80.89 ,51.69 ,41.14 ,57.37 ,33.76 ,45.09
76,89.16 ,56.18 ,44.17 ,64.20 ,36.97 ,49.73
77,98.25 ,61.05 ,47.42 ,71.89 ,39.55 ,54.84
78,108.22 ,66.34 ,50.90 ,80.53 ,45.80 ,60.46
79,119.15 ,72.08 ,54.62 ,90.25 ,51.12 ,66.64
80,131.12 ,78.29 ,58.59 ,101.16 ,55.50 ,73.41
81,144.20 ,85.03 ,62.83 ,113.37 ,58.78 ,80.83
82,158.48 ,92.32 ,67.36 ,127.03 ,60.86 ,88.95
83,174.05 ,100.21 ,72.19 ,142.27 ,64.34 ,97.81
84,190.98 ,108.74 ,77.34 ,159.21 ,68.10 ,107.47
85,209.35 ,117.96 ,82.82 ,177.99 ,73.67 ,117.89
86,229.24 ,127.90 ,88.65 ,198.71 ,82.62 ,129.1
87,250.72 ,138.62 ,94.85 ,221.47 ,91.05 ,141.14
88,273.84 ,150.17 ,101.44 ,246.33 ,99.49 ,154.03
89,298.66 ,162.59 ,108.42 ,273.31 ,102.51 ,167.8
90,325.19 ,175.93 ,115.83 ,302.41 ,108.66 ,182.47
91,353.46 ,190.25 ,123.68 ,333.53 ,113.18 ,198.06
92,383.42 ,205.58 ,131.97 ,366.54 ,123.82 ,214.57
93,415.04 ,221.98 ,140.74 ,401.24 ,131.80 ,232.01
94,448.21 ,239.48 ,149.98 ,437.34 ,140.32 ,250.38
95,482.82 ,258.13 ,159.72 ,474.52 ,192.70 ,269.66
96,518.67 ,277.95 ,169.97 ,512.39 ,218.40 ,289.83
97,555.54 ,298.98 ,180.73 ,550.50 ,313.00 ,310.86
98,593.14 ,321.21 ,192.02 ,588.41 ,467.85 ,332.73
99,1000.00 ,1000.00 ,203.84 ,625.68 ,661.96 ,355.36
100,1000.00 ,1000.00 ,1000.00 ,1000.00 ,1000.00 ,378.71
101,,,,,0,402.71
102,,,,,0,427.28
103,,,,,0,452.33
104,,,,,0,477.75
105,,,,,0,503.46
106,,,,,0,529.33
107,,,,,0,555.25
108,,,,,0,581.11
109,,,,,0,606.77
110,,,,,0,1000
